NAME,NESTAB,NAICS2017,state,county
"Hot Spring County, Arkansas",31,6244,05,059
"Johnson County, Arkansas",25,6244,05,071
"Lee County, Arkansas",28,6244,05,077
"Madison County, Arkansas",29,6244,05,087
"Desha County, Arkansas",27,6244,05,041
"Fulton County, Arkansas",12,6244,05,049
"Howard County, Arkansas",16,6244,05,061
"Garland County, Arkansas",123,6244,05,051
"Mississippi County, Arkansas",94,6244,05,093
"Pope County, Arkansas",49,6244,05,115
"Prairie County, Arkansas",11,6244,05,117
"Union County, Arkansas",75,6244,05,139
"Woodruff County, Arkansas",8,6244,05,147
"Cleburne County, Arkansas",15,6244,05,023
"Cleveland County, Arkansas",5,6244,05,025
"Jackson County, Arkansas",10,6244,05,067
"Hempstead County, Arkansas",46,6244,05,057
"Sharp County, Arkansas",17,6244,05,135
"Stone County, Arkansas",8,6244,05,137
"Washington County, Arkansas",275,6244,05,143
"Baxter County, Arkansas",27,6244,05,005
"Ashley County, Arkansas",17,6244,05,003
"Craighead County, Arkansas",246,6244,05,031
"Greene County, Arkansas",52,6244,05,055
"Lafayette County, Arkansas",4,6244,05,073
"Perry County, Arkansas",10,6244,05,105
"Phillips County, Arkansas",73,6244,05,107
"Poinsett County, Arkansas",36,6244,05,111
"Sevier County, Arkansas",18,6244,05,133
"Yell County, Arkansas",14,6244,05,149
"Calhoun County, Arkansas",0,6244,05,013
"Clark County, Arkansas",28,6244,05,019
"Bradley County, Arkansas",16,6244,05,011
"Lawrence County, Arkansas",14,6244,05,075
"Monroe County, Arkansas",16,6244,05,095
"Polk County, Arkansas",15,6244,05,113
"Conway County, Arkansas",40,6244,05,029
"Little River County, Arkansas",9,6244,05,081
"Ouachita County, Arkansas",23,6244,05,103
"Newton County, Arkansas",7,6244,05,101
"Arkansas County, Arkansas",31,6244,05,001
"Lonoke County, Arkansas",68,6244,05,085
"Carroll County, Arkansas",43,6244,05,015
"Miller County, Arkansas",83,6244,05,091
"St. Francis County, Arkansas",124,6244,05,123
"Pulaski County, Arkansas",617,6244,05,119
"White County, Arkansas",78,6244,05,145
"Merced County, California",649,6244,06,047
"Lake County, California",120,6244,06,033
"Mariposa County, California",30,6244,06,043
"Modoc County, California",26,6244,06,049
"Yuba County, California",181,6244,06,115
"Contra Costa County, California",2042,6244,06,013
"Inyo County, California",60,6244,06,027
"Lassen County, California",54,6244,06,035
"Stanislaus County, California",966,6244,06,099
"Santa Barbara County, California",654,6244,06,083
"Sonoma County, California",629,6244,06,097
"Tehama County, California",95,6244,06,103
"Imperial County, California",892,6244,06,025
"Mono County, California",13,6244,06,051
"San Benito County, California",127,6244,06,069
"Alameda County, California",2957,6244,06,001
"Sacramento County, California",3166,6244,06,067
"El Dorado County, California",181,6244,06,017
"Napa County, California",157,6244,06,055
"Monterey County, California",704,6244,06,053
"San Francisco County, California",1799,6244,06,075
"Sierra County, California",4,6244,06,091
"Franklin County, Mississippi",9,6244,28,037
"Coahoma County, Mississippi",134,6244,28,027
"Jasper County, Mississippi",58,6244,28,061
"Jones County, Mississippi",190,6244,28,067
"Walthall County, Mississippi",45,6244,28,147
"Monroe County, Mississippi",47,6244,28,095
"Pontotoc County, Mississippi",49,6244,28,115
"Holmes County, Mississippi",90,6244,28,051
"Amite County, Mississippi",25,6244,28,005
"Madison County, Mississippi",183,6244,28,089
"Calhoun County, Mississippi",31,6244,28,013
"Marion County, Mississippi",77,6244,28,091
"Tishomingo County, Mississippi",14,6244,28,141
"Wayne County, Mississippi",111,6244,28,153
"Greene County, Mississippi",33,6244,28,041
"Marshall County, Mississippi",137,6244,28,093
"Quitman County, Mississippi",39,6244,28,119
"Pearl River County, Mississippi",97,6244,28,109
"Leake County, Mississippi",69,6244,28,079
"Noxubee County, Mississippi",35,6244,28,103
"Neshoba County, Mississippi",73,6244,28,099
"Rankin County, Mississippi",173,6244,28,121
"Tate County, Mississippi",94,6244,28,137
"Washington County, Mississippi",199,6244,28,151
"Lawrence County, Mississippi",23,6244,28,077
"Panola County, Mississippi",165,6244,28,107
"Carroll County, Mississippi",6,6244,28,015
"Perry County, Mississippi",27,6244,28,111
"Yalobusha County, Mississippi",21,6244,28,161
"Chickasaw County, Mississippi",40,6244,28,017
"Copiah County, Mississippi",92,6244,28,029
"George County, Mississippi",53,6244,28,039
"Grenada County, Mississippi",59,6244,28,043
"Hinds County, Mississippi",873,6244,28,049
"Jefferson County, Mississippi",22,6244,28,063
"Newton County, Mississippi",60,6244,28,101
"Union County, Mississippi",60,6244,28,145
"Prentiss County, Mississippi",52,6244,28,117
"Sharkey County, Mississippi",20,6244,28,125
"Tippah County, Mississippi",41,6244,28,139
"Choctaw County, Mississippi",21,6244,28,019
"Forrest County, Mississippi",272,6244,28,035
"Hancock County, Mississippi",72,6244,28,045
"Itawamba County, Mississippi",16,6244,28,057
"Lafayette County, Mississippi",49,6244,28,071
"Jackson County, Mississippi",412,6244,28,059
"Lowndes County, Mississippi",92,6244,28,087
"Leflore County, Mississippi",76,6244,28,083
"Tunica County, Mississippi",54,6244,28,143
"Wilkinson County, Mississippi",37,6244,28,157
"Claiborne County, Mississippi",14,6244,28,021
"Harrison County, Mississippi",701,6244,28,047
"Jefferson Davis County, Mississippi",54,6244,28,065
"Lauderdale County, Mississippi",224,6244,28,075
"Lincoln County, Mississippi",62,6244,28,085
"Scott County, Mississippi",155,6244,28,123
"Simpson County, Mississippi",67,6244,28,127
"Winston County, Mississippi",51,6244,28,159
"Yazoo County, Mississippi",136,6244,28,163
"Attala County, Mississippi",57,6244,28,007
"Bolivar County, Mississippi",87,6244,28,011
"Lamar County, Mississippi",121,6244,28,073
"Lee County, Mississippi",134,6244,28,081
"Pike County, Mississippi",200,6244,28,113
"Tallahatchie County, Mississippi",44,6244,28,135
"Benton County, Mississippi",25,6244,28,009
"Smith County, Mississippi",35,6244,28,129
"Stone County, Mississippi",35,6244,28,131
"Warren County, Mississippi",91,6244,28,149
"Clarke County, Mississippi",46,6244,28,023
"Kemper County, Mississippi",25,6244,28,069
"Montgomery County, Mississippi",23,6244,28,097
"Oktibbeha County, Mississippi",88,6244,28,105
"Sunflower County, Mississippi",85,6244,28,133
"Webster County, Mississippi",24,6244,28,155
"Alcorn County, Mississippi",39,6244,28,003
"Adams County, Mississippi",61,6244,28,001
"Clay County, Mississippi",0,6244,28,025
"DeSoto County, Mississippi",392,6244,28,033
"Covington County, Mississippi",91,6244,28,031
"Humphreys County, Mississippi",35,6244,28,053
"Delaware County, Pennsylvania",559,6244,42,045
"Dauphin County, Pennsylvania",378,6244,42,043
"Addison County, Vermont",80,6244,50,001
"Caledonia County, Vermont",77,6244,50,005
"Windham County, Vermont",46,6244,50,025
"Bennington County, Vermont",66,6244,50,003
"Essex County, Vermont",8,6244,50,009
"Washington County, Vermont",133,6244,50,023
"Millard County, Utah",11,6244,49,027
"Tooele County, Utah",111,6244,49,045
"Washington County, Utah",170,6244,49,053
"Kane County, Utah",11,6244,49,025
"Summit County, Utah",36,6244,49,043
"Grand County, Utah",11,6244,49,019
"Rich County, Utah",4,6244,49,033
"Wasatch County, Utah",42,6244,49,051
"Beaver County, Utah",15,6244,49,001
"Box Elder County, Utah",110,6244,49,003
"Iron County, Utah",96,6244,49,021
"Sanpete County, Utah",27,6244,49,039
"Sevier County, Utah",38,6244,49,041
"Utah County, Utah",926,6244,49,049
"Weber County, Utah",305,6244,49,057
"Duchesne County, Utah",36,6244,49,013
"San Juan County, Utah",20,6244,49,037
"Salt Lake County, Utah",1484,6244,49,035
"Uintah County, Utah",21,6244,49,047
"Davis County, Utah",485,6244,49,011
"Wayne County, Utah",4,6244,49,055
"Carbon County, Utah",23,6244,49,007
"Emery County, Utah",7,6244,49,015
"Morgan County, Utah",17,6244,49,029
"Cache County, Utah",172,6244,49,005
"Garfield County, Utah",4,6244,49,017
"Juab County, Utah",13,6244,49,023
"Isle of Wight County, Virginia",41,6244,51,093
"James City County, Virginia",55,6244,51,095
"Russell County, Virginia",11,6244,51,167
"Franklin city, Virginia",18,6244,51,620
"Smyth County, Virginia",25,6244,51,173
"Charlottesville city, Virginia",51,6244,51,540
"Lexington city, Virginia",6,6244,51,678
"Campbell County, Virginia",57,6244,51,031
"Henrico County, Virginia",428,6244,51,087
"Henry County, Virginia",53,6244,51,089
"King George County, Virginia",33,6244,51,099
"King William County, Virginia",11,6244,51,101
"Lancaster County, Virginia",11,6244,51,103
"Lee County, Virginia",16,6244,51,105
"Louisa County, Virginia",39,6244,51,109
"Mathews County, Virginia",9,6244,51,115
"Middlesex County, Virginia",10,6244,51,119
"Prince Edward County, Virginia",23,6244,51,147
"Prince George County, Virginia",47,6244,51,149
"Richmond County, Virginia",13,6244,51,159
"Rockingham County, Virginia",123,6244,51,165
"Scott County, Virginia",11,6244,51,169
"Spotsylvania County, Virginia",194,6244,51,177
"Surry County, Virginia",6,6244,51,181
"Appomattox County, Virginia",16,6244,51,011
"Mecklenburg County, Virginia",33,6244,51,117
"Clarke County, Virginia",18,6244,51,043
"Franklin County, Virginia",86,6244,51,067
"King and Queen County, Virginia",0,6244,51,097
"Montgomery County, Virginia",64,6244,51,121
"New Kent County, Virginia",29,6244,51,127
"Augusta County, Virginia",63,6244,51,015
"Cumberland County, Virginia",8,6244,51,049
"Dickenson County, Virginia",6,6244,51,051
"Goochland County, Virginia",27,6244,51,075
"Halifax County, Virginia",43,6244,51,083
"Loudoun County, Virginia",854,6244,51,107
"Madison County, Virginia",18,6244,51,113
"Prince William County, Virginia",1005,6244,51,153
"Roanoke County, Virginia",87,6244,51,161
"Southampton County, Virginia",21,6244,51,175
"Highland County, Virginia",3,6244,51,091
"Brunswick County, Virginia",9,6244,51,025
"Caroline County, Virginia",33,6244,51,033
"Gloucester County, Virginia",34,6244,51,073
"Northampton County, Virginia",15,6244,51,131
